Amenity Type,Latitude,Longitude,Google Maps Link
Unknown,27.446339,94.90957,https://www.google.com/maps?q=27.446339,94.90957
Unknown,10.033015,76.295265,https://www.google.com/maps?q=10.033015,76.295265
Unknown,10.0330515,76.29523,https://www.google.com/maps?q=10.0330515,76.29523
Unknown,9.84461,76.44184,https://www.google.com/maps?q=9.84461,76.44184
Unknown,21.697487,73.116196,https://www.google.com/maps?q=21.697487,73.116196
Unknown,21.732422,73.15123,https://www.google.com/maps?q=21.732422,73.15123
Unknown,21.767614,73.22078,https://www.google.com/maps?q=21.767614,73.22078
Unknown,21.69876,73.11895,https://www.google.com/maps?q=21.69876,73.11895
Unknown,19.194317,72.994965,https://www.google.com/maps?q=19.194317,72.994965
Unknown,23.47086,88.77905,https://www.google.com/maps?q=23.47086,88.77905
Unknown,12.094256,75.19456,https://www.google.com/maps?q=12.094256,75.19456
Unknown,11.702984,79.75834,https://www.google.com/maps?q=11.702984,79.75834
Unknown,17.252169,80.13823,https://www.google.com/maps?q=17.252169,80.13823
Unknown,17.25211,80.13809,https://www.google.com/maps?q=17.25211,80.13809
Unknown,17.44522,80.17237,https://www.google.com/maps?q=17.44522,80.17237
Unknown,26.787706,92.9296,https://www.google.com/maps?q=26.787706,92.9296
Unknown,26.654577,91.89143,https://www.google.com/maps?q=26.654577,91.89143
Unknown,17.051992,80.24569,https://www.google.com/maps?q=17.051992,80.24569
Unknown,12.961306,78.26165,https://www.google.com/maps?q=12.961306,78.26165
Unknown,12.530103,78.56937,https://www.google.com/maps?q=12.530103,78.56937
Unknown,12.540138,78.57311,https://www.google.com/maps?q=12.540138,78.57311
Unknown,12.540165,78.57303,https://www.google.com/maps?q=12.540165,78.57303
Unknown,12.545193,78.574165,https://www.google.com/maps?q=12.545193,78.574165
Unknown,10.001678,76.28042,https://www.google.com/maps?q=10.001678,76.28042
Unknown,10.001641,76.28039,https://www.google.com/maps?q=10.001641,76.28039
Unknown,9.996997,76.28432,https://www.google.com/maps?q=9.996997,76.28432
Unknown,9.998852,76.28276,https://www.google.com/maps?q=9.998852,76.28276
Unknown,11.945816,79.49983,https://www.google.com/maps?q=11.945816,79.49983
Unknown,11.945822,79.49979,https://www.google.com/maps?q=11.945822,79.49979
Unknown,11.940232,79.499374,https://www.google.com/maps?q=11.940232,79.499374
Unknown,11.939496,79.49992,https://www.google.com/maps?q=11.939496,79.49992
Unknown,17.48265,78.31557,https://www.google.com/maps?q=17.48265,78.31557
Unknown,26.470757,88.85145,https://www.google.com/maps?q=26.470757,88.85145
Unknown,27.644424,82.522446,https://www.google.com/maps?q=27.644424,82.522446
Unknown,32.074818,76.48513,https://www.google.com/maps?q=32.074818,76.48513
Unknown,32.08087,76.461395,https://www.google.com/maps?q=32.08087,76.461395
Unknown,27.016348,88.247536,https://www.google.com/maps?q=27.016348,88.247536
Unknown,25.762394,93.15618,https://www.google.com/maps?q=25.762394,93.15618
Unknown,32.046356,76.59984,https://www.google.com/maps?q=32.046356,76.59984
Unknown,22.578815,88.38614,https://www.google.com/maps?q=22.578815,88.38614
Unknown,23.37471,77.53315,https://www.google.com/maps?q=23.37471,77.53315
Unknown,26.830435,80.891884,https://www.google.com/maps?q=26.830435,80.891884
Unknown,26.830471,80.891914,https://www.google.com/maps?q=26.830471,80.891914
Unknown,17.433998,78.50492,https://www.google.com/maps?q=17.433998,78.50492
Unknown,17.433928,78.504944,https://www.google.com/maps?q=17.433928,78.504944
Unknown,17.4337,78.50502,https://www.google.com/maps?q=17.4337,78.50502
Unknown,17.43411,78.50489,https://www.google.com/maps?q=17.43411,78.50489
Unknown,17.433598,78.505035,https://www.google.com/maps?q=17.433598,78.505035
Unknown,17.434044,78.504906,https://www.google.com/maps?q=17.434044,78.504906
Unknown,17.434084,78.5049,https://www.google.com/maps?q=17.434084,78.5049
Unknown,17.433638,78.505035,https://www.google.com/maps?q=17.433638,78.505035
Unknown,17.433811,78.50502,https://www.google.com/maps?q=17.433811,78.50502
Unknown,26.852865,80.852875,https://www.google.com/maps?q=26.852865,80.852875
Unknown,26.852884,80.85291,https://www.google.com/maps?q=26.852884,80.85291
Unknown,19.162645,73.07766,https://www.google.com/maps?q=19.162645,73.07766
Unknown,13.172378,77.56523,https://www.google.com/maps?q=13.172378,77.56523
Unknown,26.355362,89.46624,https://www.google.com/maps?q=26.355362,89.46624
Unknown,26.35533,89.4662,https://www.google.com/maps?q=26.35533,89.4662
Unknown,26.35551,89.46638,https://www.google.com/maps?q=26.35551,89.46638
Unknown,22.75093,88.24711,https://www.google.com/maps?q=22.75093,88.24711
Unknown,26.981478,84.832184,https://www.google.com/maps?q=26.981478,84.832184
Unknown,27.415419,95.61032,https://www.google.com/maps?q=27.415419,95.61032
Unknown,27.486538,95.35777,https://www.google.com/maps?q=27.486538,95.35777
Unknown,26.668486,94.039894,https://www.google.com/maps?q=26.668486,94.039894
Unknown,26.668888,94.03782,https://www.google.com/maps?q=26.668888,94.03782
Unknown,26.669155,94.04944,https://www.google.com/maps?q=26.669155,94.04944
Unknown,26.297358,73.05414,https://www.google.com/maps?q=26.297358,73.05414
Unknown,26.747446,93.03774,https://www.google.com/maps?q=26.747446,93.03774
Unknown,26.784594,92.93467,https://www.google.com/maps?q=26.784594,92.93467
Unknown,32.02088,76.10418,https://www.google.com/maps?q=32.02088,76.10418
Unknown,32.022808,76.101906,https://www.google.com/maps?q=32.022808,76.101906
Unknown,32.02483,76.10078,https://www.google.com/maps?q=32.02483,76.10078
Unknown,32.27938,75.84139,https://www.google.com/maps?q=32.27938,75.84139
Unknown,32.27939,75.838104,https://www.google.com/maps?q=32.27939,75.838104
Unknown,21.232815,72.85475,https://www.google.com/maps?q=21.232815,72.85475
Unknown,32.27706,75.81893,https://www.google.com/maps?q=32.27706,75.81893
Unknown,26.502554,90.94781,https://www.google.com/maps?q=26.502554,90.94781
Unknown,17.252127,80.13816,https://www.google.com/maps?q=17.252127,80.13816
Unknown,32.06313,76.247444,https://www.google.com/maps?q=32.06313,76.247444
Unknown,33.609726,75.15269,https://www.google.com/maps?q=33.609726,75.15269
Unknown,25.980492,91.058754,https://www.google.com/maps?q=25.980492,91.058754
Unknown,20.267735,85.844925,https://www.google.com/maps?q=20.267735,85.844925
Unknown,20.268257,85.845116,https://www.google.com/maps?q=20.268257,85.845116
Unknown,20.268276,85.845085,https://www.google.com/maps?q=20.268276,85.845085
Unknown,20.268301,85.845055,https://www.google.com/maps?q=20.268301,85.845055
Unknown,20.267786,85.84492,https://www.google.com/maps?q=20.267786,85.84492
Unknown,20.267672,85.84493,https://www.google.com/maps?q=20.267672,85.84493
Unknown,13.085431,79.71545,https://www.google.com/maps?q=13.085431,79.71545
Unknown,11.532376,77.95746,https://www.google.com/maps?q=11.532376,77.95746
Unknown,19.706171,85.18379,https://www.google.com/maps?q=19.706171,85.18379
Unknown,19.706177,85.18374,https://www.google.com/maps?q=19.706177,85.18374
Unknown,8.886417,76.593445,https://www.google.com/maps?q=8.886417,76.593445
Unknown,8.886227,76.59373,https://www.google.com/maps?q=8.886227,76.59373
Unknown,27.458141,95.030106,https://www.google.com/maps?q=27.458141,95.030106
Unknown,27.458422,95.03265,https://www.google.com/maps?q=27.458422,95.03265
Unknown,27.458805,95.05902,https://www.google.com/maps?q=27.458805,95.05902
Unknown,25.251484,88.047165,https://www.google.com/maps?q=25.251484,88.047165
Unknown,25.013458,88.13155,https://www.google.com/maps?q=25.013458,88.13155
Unknown,21.254705,81.58884,https://www.google.com/maps?q=21.254705,81.58884
Unknown,22.009743,82.928085,https://www.google.com/maps?q=22.009743,82.928085
Unknown,22.009787,82.928085,https://www.google.com/maps?q=22.009787,82.928085
Unknown,22.675732,85.622826,https://www.google.com/maps?q=22.675732,85.622826
Unknown,22.743456,86.25978,https://www.google.com/maps?q=22.743456,86.25978
