Amenity Type,Latitude,Longitude,Google Maps Link
Unknown,11.01884,77.00732,https://www.google.com/maps?q=11.01884,77.00732
Unknown,11.026167,76.949936,https://www.google.com/maps?q=11.026167,76.949936
Unknown,12.966388,80.247475,https://www.google.com/maps?q=12.966388,80.247475
Unknown,11.01494,76.954384,https://www.google.com/maps?q=11.01494,76.954384
Unknown,10.774614,79.123184,https://www.google.com/maps?q=10.774614,79.123184
Unknown,11.033782,76.95172,https://www.google.com/maps?q=11.033782,76.95172
Unknown,10.999796,76.97994,https://www.google.com/maps?q=10.999796,76.97994
Unknown,11.026457,76.94486,https://www.google.com/maps?q=11.026457,76.94486
Unknown,11.026551,76.94439,https://www.google.com/maps?q=11.026551,76.94439
Unknown,11.025625,76.93729,https://www.google.com/maps?q=11.025625,76.93729
Unknown,11.082551,76.99742,https://www.google.com/maps?q=11.082551,76.99742
Unknown,11.04411,76.9856,https://www.google.com/maps?q=11.04411,76.9856
Unknown,11.304711,76.93644,https://www.google.com/maps?q=11.304711,76.93644
Unknown,12.83071,79.7036,https://www.google.com/maps?q=12.83071,79.7036
Unknown,11.281602,76.94625,https://www.google.com/maps?q=11.281602,76.94625
Unknown,11.156487,76.94404,https://www.google.com/maps?q=11.156487,76.94404
Unknown,11.129355,76.935165,https://www.google.com/maps?q=11.129355,76.935165
Unknown,11.025458,76.972626,https://www.google.com/maps?q=11.025458,76.972626
Unknown,11.014419,76.94379,https://www.google.com/maps?q=11.014419,76.94379
Unknown,11.014291,76.944954,https://www.google.com/maps?q=11.014291,76.944954
Unknown,11.014797,76.9475,https://www.google.com/maps?q=11.014797,76.9475
Unknown,11.015201,76.949814,https://www.google.com/maps?q=11.015201,76.949814
Unknown,11.009773,76.95033,https://www.google.com/maps?q=11.009773,76.95033
Unknown,13.062605,80.23052,https://www.google.com/maps?q=13.062605,80.23052
Unknown,11.302238,76.94007,https://www.google.com/maps?q=11.302238,76.94007
Unknown,11.01934,76.96352,https://www.google.com/maps?q=11.01934,76.96352
Unknown,11.019002,76.96208,https://www.google.com/maps?q=11.019002,76.96208
Unknown,11.010593,76.95023,https://www.google.com/maps?q=11.010593,76.95023
Unknown,11.013454,76.94968,https://www.google.com/maps?q=11.013454,76.94968
Unknown,13.078795,80.24057,https://www.google.com/maps?q=13.078795,80.24057
Unknown,10.994379,76.96647,https://www.google.com/maps?q=10.994379,76.96647
Unknown,10.993506,76.97562,https://www.google.com/maps?q=10.993506,76.97562
Unknown,11.012474,76.98624,https://www.google.com/maps?q=11.012474,76.98624
Unknown,11.009415,76.98938,https://www.google.com/maps?q=11.009415,76.98938
Unknown,10.997898,76.989395,https://www.google.com/maps?q=10.997898,76.989395
Unknown,10.941407,76.93699,https://www.google.com/maps?q=10.941407,76.93699
