Hospital,School,Toll Gate,Railway Crossing,Traffic Signal,Bus Stop,Latitude,Longitude,Google Maps Link
No,No,No,No,No,No,10.553652,77.001366,https://www.google.com/maps?q=10.553652,77.001366
No,No,No,No,No,No,10.485728,76.96669,https://www.google.com/maps?q=10.485728,76.96669
No,No,No,No,No,No,10.483314,76.96339,https://www.google.com/maps?q=10.483314,76.96339
No,No,No,No,No,No,10.489516,76.976395,https://www.google.com/maps?q=10.489516,76.976395
No,No,No,No,No,No,11.096983,77.15528,https://www.google.com/maps?q=11.096983,77.15528
No,No,No,No,No,No,11.1039505,77.17078,https://www.google.com/maps?q=11.1039505,77.17078
No,No,No,No,No,No,10.660283,77.0031,https://www.google.com/maps?q=10.660283,77.0031
No,No,No,No,No,No,11.103364,76.938126,https://www.google.com/maps?q=11.103364,76.938126
No,No,No,No,No,No,11.152471,76.94447,https://www.google.com/maps?q=11.152471,76.94447
No,No,No,No,No,No,12.981693,80.19562,https://www.google.com/maps?q=12.981693,80.19562
No,No,No,No,No,No,12.988008,80.18561,https://www.google.com/maps?q=12.988008,80.18561
No,No,No,No,No,No,13.070289,80.2738,https://www.google.com/maps?q=13.070289,80.2738
No,No,No,No,No,No,13.070645,80.2737,https://www.google.com/maps?q=13.070645,80.2737
No,No,No,No,No,No,13.067109,80.26857,https://www.google.com/maps?q=13.067109,80.26857
No,No,No,No,No,No,13.062791,80.2637,https://www.google.com/maps?q=13.062791,80.2637
No,No,No,No,No,No,13.059229,80.259705,https://www.google.com/maps?q=13.059229,80.259705
No,No,No,No,No,No,13.059312,80.25946,https://www.google.com/maps?q=13.059312,80.25946
No,No,No,No,No,No,13.062727,80.24468,https://www.google.com/maps?q=13.062727,80.24468
No,No,No,No,No,No,13.055035,80.249306,https://www.google.com/maps?q=13.055035,80.249306
No,No,No,No,No,No,13.006865,80.24072,https://www.google.com/maps?q=13.006865,80.24072
No,No,No,No,No,No,12.96999,80.18634,https://www.google.com/maps?q=12.96999,80.18634
No,No,No,No,No,No,12.966134,80.18857,https://www.google.com/maps?q=12.966134,80.18857
No,No,No,No,No,No,12.964764,80.19644,https://www.google.com/maps?q=12.964764,80.19644
No,No,No,No,No,No,12.965481,80.2003,https://www.google.com/maps?q=12.965481,80.2003
No,No,No,No,No,No,12.963642,80.2153,https://www.google.com/maps?q=12.963642,80.2153
No,No,No,No,No,No,13.044514,80.26855,https://www.google.com/maps?q=13.044514,80.26855
No,No,No,No,No,No,13.006844,80.24938,https://www.google.com/maps?q=13.006844,80.24938
No,No,No,No,No,No,13.047315,80.266335,https://www.google.com/maps?q=13.047315,80.266335
No,No,No,No,No,No,13.056505,80.25494,https://www.google.com/maps?q=13.056505,80.25494
No,No,No,No,No,No,12.990968,80.219986,https://www.google.com/maps?q=12.990968,80.219986
No,No,No,No,No,No,11.833805,77.94223,https://www.google.com/maps?q=11.833805,77.94223
No,No,No,No,No,No,12.979639,80.182976,https://www.google.com/maps?q=12.979639,80.182976
No,No,No,No,No,No,11.666568,78.144005,https://www.google.com/maps?q=11.666568,78.144005
No,No,No,No,No,No,11.654767,78.15865,https://www.google.com/maps?q=11.654767,78.15865
No,No,No,No,No,No,11.632742,78.12693,https://www.google.com/maps?q=11.632742,78.12693
No,No,No,No,No,No,11.67119,78.1582,https://www.google.com/maps?q=11.67119,78.1582
No,No,No,No,No,No,11.695484,78.16399,https://www.google.com/maps?q=11.695484,78.16399
No,No,No,No,No,No,11.691954,78.16309,https://www.google.com/maps?q=11.691954,78.16309
No,No,No,No,No,No,11.690284,78.16261,https://www.google.com/maps?q=11.690284,78.16261
No,No,No,No,No,No,11.713729,78.177414,https://www.google.com/maps?q=11.713729,78.177414
No,No,No,No,No,No,11.686747,78.17451,https://www.google.com/maps?q=11.686747,78.17451
No,No,No,No,No,No,12.996319,80.26246,https://www.google.com/maps?q=12.996319,80.26246
No,No,No,No,No,No,11.655068,78.163666,https://www.google.com/maps?q=11.655068,78.163666
No,No,No,No,No,No,11.658149,78.16708,https://www.google.com/maps?q=11.658149,78.16708
No,No,No,No,No,No,11.656676,78.16774,https://www.google.com/maps?q=11.656676,78.16774
No,No,No,No,No,No,11.676733,78.16356,https://www.google.com/maps?q=11.676733,78.16356
No,No,No,No,No,No,11.655275,78.16365,https://www.google.com/maps?q=11.655275,78.16365
No,No,No,No,No,No,11.657042,78.16754,https://www.google.com/maps?q=11.657042,78.16754
No,No,No,No,No,No,11.659538,78.16166,https://www.google.com/maps?q=11.659538,78.16166
No,No,No,No,No,No,13.052318,80.263756,https://www.google.com/maps?q=13.052318,80.263756
No,No,No,No,No,No,13.080375,80.28837,https://www.google.com/maps?q=13.080375,80.28837
No,No,No,No,No,No,13.052009,80.25768,https://www.google.com/maps?q=13.052009,80.25768
No,No,No,No,No,No,13.067256,80.27057,https://www.google.com/maps?q=13.067256,80.27057
No,No,No,No,No,No,13.056521,80.25644,https://www.google.com/maps?q=13.056521,80.25644
No,No,No,No,No,No,12.988515,80.25584,https://www.google.com/maps?q=12.988515,80.25584
No,No,No,No,No,No,12.988407,80.25591,https://www.google.com/maps?q=12.988407,80.25591
No,No,No,No,No,No,12.985301,80.259636,https://www.google.com/maps?q=12.985301,80.259636
No,No,No,No,No,No,12.985807,80.25973,https://www.google.com/maps?q=12.985807,80.25973
No,No,No,No,No,No,13.067773,80.25504,https://www.google.com/maps?q=13.067773,80.25504
No,No,No,No,No,No,13.006189,80.247536,https://www.google.com/maps?q=13.006189,80.247536
No,No,No,No,No,No,13.0065155,80.2416,https://www.google.com/maps?q=13.0065155,80.2416
